State,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
AK,12.100000000000003,13.300000000000008,1.2,4.400000000000002,4.400000000000002,0.0,7.400000000000004,8.0
AL,17.9,17.6,-0.3000000000000004,6.800000000000007,7.300000000000008,0.5,8.5,9.299999999999999
AR,14.899999999999993,14.899999999999993,0.0,6.399999999999991,6.0,-0.3999999999999994,11.200000000000014,11.5
AZ,19.699999999999996,19.199999999999996,-0.5,8.099999999999998,7.400000000000002,-0.6999999999999998,9.7,10.900000000000004
CA,15.600000000000016,12.600000000000012,-3.0,5.699999999999995,4.5,-1.2000000000000013,10.39999999999999,10.799999999999997
CO,14.100000000000014,12.100000000000014,-2.0,5.800000000000006,5.100000000000001,-0.7000000000000005,8.0,8.800000000000002
CT,13.400000000000002,13.099999999999998,-0.3,4.8999999999999995,6.299999999999999,1.4000000000000001,6.799999999999999,8.0
DC,11.6,11.9,0.3,4.9,3.2,-1.7,9.0,11.2
DE,12.0,13.199999999999998,1.2,4.5,4.8,0.3,6.3,7.0
FL,14.799999999999981,12.700000000000014,-2.0999999999999974,5.699999999999994,5.399999999999996,-0.3000000000000004,9.299999999999999,9.39999999999999
GA,16.900000000000052,14.900000000000045,-2.0,6.5,5.600000000000015,-0.9000000000000027,9.200000000000028,10.5
HI,14.0,9.7,-4.3,5.6,3.0,-2.6,6.9,8.4
IA,13.5,14.799999999999972,1.2999999999999983,6.299999999999998,6.100000000000011,-0.19999999999999962,7.5,8.299999999999988
ID,12.60000000000001,10.600000000000009,-2.0,4.800000000000003,4.5,-0.3000000000000002,9.699999999999992,8.699999999999994
IL,14.299999999999974,13.799999999999974,-0.5,5.300000000000004,5.100000000000009,-0.1999999999999996,7.0,7.399999999999986
IN,13.0,11.100000000000016,-1.9000000000000032,4.5,4.300000000000007,-0.19999999999999965,6.1999999999999975,7.799999999999993
KS,14.400000000000018,14.59999999999998,0.1999999999999996,5.5,5.5,0.0,8.799999999999983,9.299999999999983
KY,15.599999999999968,17.599999999999962,2.0,6.200000000000008,7.299999999999986,1.0999999999999976,8.0,10.0
LA,15.700000000000019,18.4,2.6999999999999984,4.800000000000006,7.699999999999992,2.900000000000003,9.10000000000001,9.0
MA,14.900000000000004,15.800000000000002,0.9000000000000002,7.099999999999999,7.400000000000001,0.29999999999999993,6.4,7.099999999999999
MD,13.0,10.699999999999996,-2.299999999999999,5.099999999999998,3.7999999999999985,-1.3000000000000005,6.5,7.900000000000003
ME,11.400000000000004,9.7,-1.6999999999999995,4.200000000000001,4.5,0.29999999999999993,7.700000000000002,10.3
MI,13.399999999999991,14.900000000000004,1.5,5.300000000000007,6.39999999999999,1.099999999999999,7.600000000000012,8.0
MN,10.600000000000016,9.899999999999984,-0.7000000000000012,4.800000000000008,3.800000000000006,-1.0,5.699999999999992,7.100000000000011
MO,20.900000000000045,20.8,-0.09999999999999978,6.899999999999986,7.899999999999985,1.0,8.299999999999983,9.0
MS,16.700000000000028,15.200000000000024,-1.5,7.600000000000012,6.699999999999996,-0.8999999999999998,11.299999999999983,12.399999999999984
MT,14.100000000000012,12.200000000000006,-1.9000000000000017,5.600000000000001,5.600000000000001,0.0,8.399999999999991,9.0
NC,16.599999999999977,14.200000000000024,-2.400000000000004,6.700000000000005,5.60000000000001,-1.099999999999998,10.0,10.200000000000019
ND,13.200000000000006,14.100000000000012,0.8999999999999991,5.0,4.900000000000004,-0.09999999999999995,5.300000000000005,5.800000000000005
NE,17.0,15.900000000000018,-1.0999999999999985,5.5,6.1999999999999975,0.7000000000000012,7.2999999999999945,8.100000000000012
NH,13.400000000000002,14.8,1.4000000000000001,5.0,5.6000000000000005,0.5999999999999999,4.799999999999999,5.1000000000000005
NJ,9.900000000000002,10.099999999999998,0.20000000000000004,4.299999999999999,4.299999999999999,0.0,6.900000000000003,7.400000000000003
NM,12.100000000000005,11.100000000000003,-1.0,4.599999999999997,4.7,0.10000000000000005,12.399999999999995,12.399999999999995
NV,8.700000000000001,8.5,-0.20000000000000004,3.399999999999999,2.899999999999999,-0.5,8.599999999999998,9.5
NY,15.200000000000015,14.399999999999984,-0.7999999999999993,5.899999999999996,5.699999999999994,-0.19999999999999982,8.0,9.5
OH,16.099999999999987,16.099999999999987,0.0,7.100000000000011,6.600000000000011,-0.5,8.200000000000008,8.600000000000014
OK,15.299999999999978,15.5,0.1999999999999997,6.600000000000009,6.399999999999991,-0.1999999999999997,10.5,11.399999999999986
OR,13.600000000000009,16.10000000000001,2.5,5.8000000000000025,6.599999999999996,0.8000000000000004,9.5,10.399999999999995
PA,12.299999999999986,12.399999999999986,0.09999999999999988,4.800000000000006,4.800000000000006,0.0,7.199999999999992,7.899999999999991
RI,15.4,11.8,-3.6,5.5,5.0,-0.5,7.3,9.8
SC,15.399999999999988,13.200000000000001,-2.2000000000000015,5.199999999999996,4.599999999999996,-0.6000000000000005,9.199999999999992,9.800000000000008
SD,12.899999999999986,11.5,-1.4000000000000012,4.899999999999999,4.5,-0.3999999999999995,6.699999999999993,7.8999999999999915
TN,16.200000000000028,15.099999999999985,-1.0999999999999983,6.899999999999988,6.0,-0.9000000000000006,8.899999999999986,10.100000000000016
TX,18.400000000000013,15.400000000000063,-3.0,6.200000000000028,6.0,-0.2000000000000007,12.599999999999943,12.800000000000045
UT,14.800000000000008,11.899999999999997,-2.9000000000000004,4.8,4.5,-0.3,9.699999999999994,9.0
VA,12.700000000000028,11.40000000000002,-1.3000000000000016,5.600000000000013,5.100000000000013,-0.5,6.200000000000013,6.200000000000013
VT,9.200000000000001,9.799999999999999,0.5999999999999999,3.2,4.299999999999999,1.0999999999999999,6.4,8.0
WA,14.60000000000001,12.89999999999999,-1.700000000000001,6.099999999999996,4.8000000000000025,-1.2999999999999992,8.5,8.699999999999994
WI,14.200000000000019,15.0,0.7999999999999989,4.899999999999997,6.199999999999992,1.2999999999999983,7.100000000000009,7.699999999999997
WV,11.200000000000003,11.299999999999997,0.09999999999999994,4.699999999999996,4.699999999999996,0.0,6.5,7.399999999999994
WY,13.800000000000006,13.199999999999994,-0.5999999999999998,5.099999999999998,5.299999999999998,0.20000000000000007,9.0,7.900000000000003
